Player,Count,MVP_Won,AVG_Minutes_Per_Game,AVG_Points_Per_Game,AVG_Total_Rebounds_Per_Game,AVG_Assists_Per_Game,AVG_Steals_Per_Game,AVG_blocks_Per_Game,AVG_Field_Goal_Percentage,AVG_3-Points_Field_Goal_Percentage,AVG_Free_Throw_Percentage,AVG_Win_Shares,AVG_Win_Shares_Per_48_Minutes
DeMar DeRozan,3,0,35.13333333333333,26.066666666666663,4.766666666666667,4.666666666666667,1.0333333333333334,0.26666666666666666,0.4756666666666667,0.30933333333333335,0.8479999999999999,9.133333333333335,0.16333333333333333
Jalen Brunson,3,0,35.26666666666667,26.233333333333334,3.3333333333333335,6.733333333333333,0.9,0.16666666666666666,0.486,0.39999999999999997,0.8323333333333333,9.4,0.18166666666666664
Antawn Jamison,1,0,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144
Marcus Camby,1,0,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8,0.138
Joakim Noah,2,0,36.05,12.25,11.2,4.7,1.2,1.8,0.478,0.0,0.744,9.25,0.16749999999999998
Joe Johnson,2,0,36.75,20.05,4.15,4.4,0.9500000000000001,0.15000000000000002,0.456,0.3785,0.8334999999999999,7.4,0.14250000000000002
Dwyane Wade,8,0,36.87499999999999,25.5375,5.2,6.1625000000000005,1.8375000000000001,1.0875,0.493625,0.271875,0.7690000000000001,11.5,0.216
Goran Dragić,1,0,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186
Elton Brand,2,0,38.5,21.45,10.8,2.5,1.0,2.25,0.527,0.333,0.7585,14.2,0.2225
Klay Thompson,1,0,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172
Steve Nash,8,2,33.925,16.799999999999997,3.35,10.174999999999999,0.7499999999999999,0.09999999999999999,0.5046250000000001,0.434875,0.9051250000000001,10.4625,0.1895
Damian Lillard,5,0,36.220000000000006,27.32,4.319999999999999,7.159999999999999,1.02,0.36,0.4431999999999999,0.3794,0.9072000000000001,11.18,0.2062
LaMarcus Aldridge,3,0,35.03333333333333,23.23333333333333,9.933333333333332,2.1,0.7333333333333334,1.0666666666666667,0.47800000000000004,0.2816666666666667,0.8346666666666666,9.0,0.17266666666666666
Stephen Curry,11,2,34.21818181818182,26.472727272727276,4.918181818181818,6.554545454545454,1.5000000000000002,0.2636363636363636,0.47345454545454546,0.42454545454545456,0.9117272727272727,11.118181818181817,0.22181818181818186
Anthony Davis,4,0,35.75,26.65,10.599999999999998,2.45,1.45,2.5,0.51925,0.263,0.82025,12.450000000000001,0.24
Andrei Kirilenko,1,0,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192
Kawhi Leonard,6,0,33.13333333333333,23.61666666666667,6.783333333333332,3.6666666666666665,1.8499999999999999,0.65,0.49133333333333334,0.38650000000000007,0.8635,10.483333333333333,0.23883333333333334
Kevin Garnett,8,1,37.324999999999996,21.075,11.7625,4.5875,1.3375,1.5625,0.495125,0.2155,0.7925,12.975,0.2105
Dirk Nowitzki,12,1,36.65,24.033333333333335,8.391666666666667,2.7916666666666665,0.8999999999999999,0.9249999999999999,0.47941666666666666,0.3863333333333334,0.888,13.025,0.21974999999999997
Domantas Sabonis,2,0,35.150000000000006,19.25,13.0,7.75,0.8500000000000001,0.55,0.6045,0.376,0.723,12.6,0.2135
Allen Iverson,5,1,42.72,30.759999999999998,3.94,6.18,2.46,0.18000000000000002,0.4206,0.3038,0.8098000000000001,9.5,0.1488
Vince Carter,2,0,38.2,26.05,5.35,4.05,1.45,0.8500000000000001,0.456,0.40700000000000003,0.7815000000000001,11.15,0.1835
Kevin Durant,11,1,36.945454545454545,28.054545454545448,7.4,4.690909090909091,1.0727272727272728,1.1818181818181819,0.506090909090909,0.38536363636363635,0.8846363636363637,13.045454545454545,0.2318181818181818
John Stockton,1,0,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216
PJ Brown,1,0,34.4,10.8,9.0,2.2,0.9,0.6,0.446,,0.864,6.9,0.118
Manu Ginóbili,3,0,30.03333333333333,17.8,4.1000000000000005,4.766666666666667,1.4666666666666668,0.3666666666666667,0.4446666666666667,0.37566666666666665,0.867,10.233333333333333,0.21433333333333335
Carmelo Anthony,6,0,37.5,26.650000000000002,6.8500000000000005,3.15,1.1666666666666667,0.49999999999999994,0.45883333333333326,0.34016666666666673,0.8131666666666666,8.283333333333333,0.1465
Pascal Siakam,1,0,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123
Evan Mobley,1,0,30.5,18.5,9.3,3.2,0.9,1.6,0.557,0.37,0.725,9.0,0.2
Mike Conley,1,0,33.5,17.2,2.9,6.0,1.5,0.2,0.45,0.361,0.815,8.2,0.161
Yao Ming,2,0,33.2,18.6,9.45,1.65,0.35,1.9,0.535,0.5,0.8375,11.0,0.199
Paul George,2,0,36.55,24.85,7.5,3.8,2.05,0.35,0.431,0.375,0.8514999999999999,11.350000000000001,0.1895
Karl Malone,1,0,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217
Dwight Howard,5,0,36.8,20.619999999999997,13.959999999999999,1.56,1.1400000000000001,2.46,0.5898,0.0,0.5726,12.4,0.2142
James Harden,10,1,36.82,28.500000000000007,6.180000000000001,8.09,1.6800000000000002,0.65,0.4424,0.3619,0.8629,12.930000000000001,0.22890000000000002
Baron Davis,2,0,37.7,21.5,4.35,7.8,2.25,0.45,0.41700000000000004,0.3125,0.7090000000000001,6.95,0.136
