points_share,VORP,PER,FG,2P,DWS,USG%,WS/48,WS,PTS,FTA
0.0,0.0,12.4,3.2,3.2,0.4,23.1,0.043,0.2,7.1,1.5
0.0,-0.2,2.6,0.3,0.3,0.1,14.6,-0.038,-0.1,1.1,0.5
0.0,-0.4,7.0,1.9,0.9,0.7,17.5,0.046,0.8,5.8,1.1
0.0,1.6,20.2,3.6,3.6,2.3,15.9,0.196,5.8,8.7,2.1
0.0,0.0,9.7,0.5,0.5,0.1,7.0,0.127,0.1,1.0,0.0
0.0,0.0,19.8,1.0,1.0,0.0,22.1,0.151,0.0,2.0,0.0
0.162,4.2,23.7,7.4,6.2,1.8,24.9,0.198,8.9,22.2,7.2
0.0,-0.1,9.9,3.2,1.9,0.5,17.3,0.025,0.3,8.7,1.5
0.0,0.1,13.7,2.7,1.0,0.5,26.9,0.045,0.6,7.7,1.1
0.0,0.9,21.0,5.4,4.3,0.3,25.1,0.145,2.4,12.8,1.6
0.0,0.0,-4.9,0.0,0.0,0.0,19.1,-0.25,0.0,0.0,0.0
0.0,0.0,9.5,2.3,1.7,0.5,13.7,0.051,0.7,5.5,0.4
0.0,0.0,-5.0,0.5,0.5,0.0,42.9,-0.404,0.0,1.0,0.0
0.0,0.1,13.5,2.6,1.5,0.1,18.9,0.072,0.6,8.6,2.6
0.0,0.4,13.2,4.5,3.5,2.1,19.5,0.08,3.3,11.5,1.8
0.0,0.0,7.4,0.9,0.0,0.0,14.8,0.042,0.1,2.9,0.3
0.0,-0.1,8.2,1.4,1.1,0.9,12.1,0.041,1.0,3.9,1.2
0.0,0.0,9.9,0.5,0.5,0.1,15.9,0.05,0.1,1.5,0.6
0.0,-0.6,7.8,1.5,1.4,0.7,11.6,0.032,0.7,3.7,0.8
0.0,-0.1,-5.1,0.2,0.1,0.0,18.1,-0.239,-0.2,0.5,0.2
0.0,0.1,13.6,3.6,2.8,1.0,20.0,0.085,2.5,8.8,1.0
0.0,2.5,18.9,3.7,3.2,3.3,20.4,0.159,6.0,10.1,2.7
0.0,3.1,18.4,8.3,5.9,2.5,27.6,0.111,6.9,22.6,4.5
0.0,0.9,18.0,4.4,3.8,2.1,24.6,0.122,3.1,11.5,2.5
0.0,0.7,17.0,5.3,4.3,1.1,22.0,0.107,2.5,14.6,4.2
0.0,-0.3,6.8,1.8,1.7,0.1,17.4,-0.003,0.0,4.4,1.0
0.0,-0.1,14.7,5.3,5.3,0.7,20.4,0.055,1.9,11.8,1.4
0.0,-1.0,10.1,3.0,2.4,0.5,18.5,-0.006,-0.2,7.8,1.4
0.0,0.4,11.4,3.8,2.2,1.5,17.0,0.064,3.0,10.2,1.3
0.0,0.1,13.0,2.3,1.4,0.7,19.3,0.115,1.2,6.2,1.0
0.0,-0.3,9.8,2.9,0.6,0.0,17.2,0.042,1.4,8.9,0.8
0.0,1.0,13.0,4.5,3.0,1.2,16.9,0.082,3.9,12.0,1.6
0.0,0.6,13.3,3.5,2.3,0.9,16.3,0.085,3.2,10.0,2.1
